;0.0;1.0;2.0;3.0;4.0;5.0;6.0;7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0;15.0;16.0;17.0;18.0;19.0;20.0;21.0;22.0;23.0;24.0;25.0;26.0;27.0;28.0;29.0;30.0;31.0;32.0;33.0;34.0;35.0;36.0;37.0;38.0;39.0;40.0;41.0;42.0;43.0;44.0;45.0;46.0;47.0;48.0;49.0;50.0;51.0;52.0;53.0;54.0;55.0;56.0;57.0;58.0;59.0;60.0;61.0;62.0;63.0;64.0;65.0;66.0;67.0;68.0;69.0;70.0;71.0;72.0;73.0;74.0;75.0;76.0;77.0;78.0;79.0;80.0;81.0;82.0;83.0;84.0;85.0;87.0;89.0;92.0;97.0
0;6335;11721;5660;2150;1;0;2;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;91;2314;11075;17352;16370;10179;7692;7084;5671;1868;16;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;22;78;629;1379;1069;8334;15294;12928;5713;5763;6449;5777;5081;4775;3403;1051;32;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;17;28;98;560;751;162;424;1455;3474;5794;6193;4086;2233;1840;2273;3552;3676;3357;3013;2240;1324;528;42;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;7;8;8;63;64;220;122;47;59;62;207;1675;4753;1865;1058;722;635;605;564;608;710;968;1010;865;659;559;467;269;23;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;3;1;2;16;14;8;88;53;12;6;1;5;20;104;102;458;1193;358;176;116;91;118;68;56;43;60;89;242;477;445;389;343;247;115;20;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;1;2;11;7;1;5;25;28;4;0;1;0;2;2;6;7;28;63;82;72;40;22;4;9;19;12;10;13;17;19;30;43;126;204;197;163;147;124;59;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;2;0;0;0;0;0;3;6;8;15;6;1;1;1;0;0;3;3;4;8;8;18;14;8;12;4;3;2;4;7;3;11;8;2;8;14;13;25;34;81;110;121;115;78;73;46;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;4;2;1;2;8;1;2;6;6;3;2;1;1;0;0;0;2;5;1;0;0;1;3;3;2;2;4;2;1;1;4;4;9;3;3;7;4;7;6;16;23;35;64;85;74;71;74;44;36;13;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
